,FCN-8s,FCN-GS,FCN-GS-v2,FCN-DBSCAN,FCN-DBSCAN-v2,DeepLab-CRF,DeepLab-CRF-GS,DeepLab-CRF-GS-v2
background,91.2,90.9,91.3,91.2,92.0,92.1,92.3,92.3
aeroplane,76.8,80.4,79.8,82.2,78.5,78.4,81.4,82.3
bicycle,34.2,33.4,33.9,33.1,32.4,33.1,34.1,34.2
bird,68.9,70.8,74.0,73.3,76.9,78.2,79.1,79.0
boat,49.4,53.0,55.6,55.6,56.6,55.6,58.3,58.3
bottle,60.3,62.9,64.7,63.3,64.6,65.3,65.8,66.0
bus,75.3,79.7,79.1,79.8,80.6,81.3,81.3,82.1
car,74.7,76.4,76.8,76.1,74.7,75.5,77.1,77.7
cat,77.6,79.1,80.3,78.3,77.8,78.6,80.5,81.8
chair,21.4,24.0,25.3,24.5,26.7,25.3,28.9,29.1
cow,62.5,65.4,65.7,64.8,68.4,69.2,69.1,68.5
diningtable,46.8,52.9,52.7,53.6,52.1,52.7,56.1,56.3
dog,71.8,73.6,74.0,73.9,73.6,75.2,75.9,77.0
horse,63.9,66.9,67.3,66.6,68.6,69.0,68.8,69.1
motorbike,76.5,75.6,76.0,76.9,78.4,79.1,78.9,79.7
person,73.9,75.2,75.4,75.0,76.8,77.6,78.0,78.0
pottedplant,45.2,46.9,48.8,47.6,54.0,54.7,53.7,53.5
sheep,72.4,72.5,74.7,73.2,76.9,78.3,78.7,78.2
sofa,37.4,42.0,44.2,43.4,46.1,45.1,46.3,47.0
train,70.9,70.6,72.6,73.2,72.2,73.3,73.8,74.9
tvmonitor,55.1,59.6,58.8,59.0,57.3,56.2,58.9,60.4
mean,62.2,64.4,65.3,65.0,65.9,66.4,67.5,67.9
